event,age,probs
PCC,262,0
PCC,267,0
PCC,272,0
PCC,277,0
PCC,282,0
PCC,287,0
PCC,292,0
PCC,297,0
PCC,302,0
PCC,307,0
PCC,312,0
PCC,317,0
PCC,322,0
PCC,327,0
PCC,332,0
PCC,337,0
PCC,342,0
PCC,347,0
PCC,352,0
PCC,357,0
PCC,362,0
PCC,367,0
PCC,372,0
PCC,377,0
PCC,382,0
PCC,387,0
PCC,392,0
PCC,397,0
PCC,402,0
PCC,407,0
PCC,412,0
PCC,417,0
PCC,422,0
PCC,427,0
PCC,432,0
PCC,437,0
PCC,442,0
PCC,447,0
PCC,452,0
PCC,457,0
PCC,462,0
PCC,467,0
PCC,472,0
PCC,477,0
PCC,482,0
PCC,487,0
PCC,492,0
PCC,497,0
PCC,502,0
PCC,507,0
PCC,512,0
PCC,517,0
PCC,522,0
PCC,527,0
PCC,532,0
PCC,537,0
PCC,542,0
PCC,547,0
PCC,552,0
PCC,557,0
PCC,562,0
PCC,567,0
PCC,572,0
PCC,577,0
PCC,582,0
PCC,587,0
PCC,592,2.74E-04
PCC,597,1.10E-03
PCC,602,2.56E-03
PCC,607,4.84E-03
PCC,612,8.92E-03
PCC,617,1.51E-02
PCC,622,2.34E-02
PCC,627,3.63E-02
PCC,632,6.47E-02
PCC,637,0.1253
PCC,642,0.1872
PCC,647,0.1887
PCC,652,0.1488
PCC,657,9.59E-02
PCC,662,5.21E-02
PCC,667,2.52E-02
PCC,672,1.05E-02
PCC,677,4.19E-03
PCC,682,2.44E-03
PCC,687,1.64E-03
PCC,692,5.52E-04
PCC,697,1.45E-04
PCC,702,5.91E-05
PCC,707,3.35E-05
PCC,712,1.66E-05
PCC,717,1.22E-05
PCC,722,1.12E-05
PCC,727,1.03E-05
PCC,732,8.90E-06
PCC,737,5.60E-06
PCC,742,1.14E-06
PCC,747,1.74E-07
PCC,752,1.66E-08
PCC,757,0
PCC,762,0
PCC,767,0
PCD,645,0
PCD,655,0
PCD,665,6.26E-09
PCD,675,1.48E-06
PCD,685,1.10E-04
PCD,695,5.56E-03
PCD,705,6.41E-02
PCD,715,0.1955
PCD,725,0.3234
PCD,735,0.2533
PCD,745,0.1057
PCD,755,3.21E-02
PCD,765,1.01E-02
PCD,775,6.42E-03
PCD,785,2.37E-03
PCD,795,8.23E-04
PCD,805,3.50E-04
PCD,815,1.53E-04
PCD,825,6.72E-05
PCD,835,1.63E-05
PCD,845,2.00E-06
PCD,855,1.13E-07
PCD,865,1.26E-09
PCD,875,9.26E-12
PCD,885,8.92E-13
PCD,895,8.92E-13
PCD,905,7.79E-13
PCD,915,0
PCD,925,0
PCD,935,0
PCD,945,0
PCD,955,0
PCD,965,0
PCF,565,0
PCF,575,0
PCF,585,0
PCF,595,0
PCF,605,0
PCF,615,0
PCF,625,0
PCF,635,0
PCF,645,0
PCF,655,0
PCF,665,0
PCF,675,3.65E-12
PCF,685,5.25E-09
PCF,695,5.68E-07
PCF,705,2.65E-05
PCF,715,3.58E-04
PCF,725,1.88E-03
PCF,735,5.62E-03
PCF,745,1.21E-02
PCF,755,2.27E-02
PCF,765,3.96E-02
PCF,775,6.91E-02
PCF,785,0.1061
PCF,795,0.1517
PCF,805,0.1663
PCF,815,0.1517
PCF,825,0.1246
PCF,835,8.29E-02
PCF,845,4.40E-02
PCF,855,1.76E-02
PCF,865,3.55E-03
PCF,875,1.73E-04
PCF,885,1.15E-06
PCF,895,2.99E-08
PCF,905,2.73E-09
PCF,915,0
PCF,925,0
PCF,935,0
PCF,945,0
PCF,955,0
PCF,965,0
PCF,975,0
PCF,985,0
PCF,995,0
PCF,1005,0
PCF,1015,0
PCI,605,0
PCI,615,0
PCI,625,0
PCI,635,0
PCI,645,0
PCI,655,0
PCI,665,0
PCI,675,0
PCI,685,0
PCI,695,0
PCI,705,0
PCI,715,0
PCI,725,0
PCI,735,0
PCI,745,0
PCI,755,0
PCI,765,0
PCI,775,0
PCI,785,5.18E-14
PCI,795,8.71E-11
PCI,805,1.46E-08
PCI,815,3.13E-07
PCI,825,1.56E-06
PCI,835,4.10E-06
PCI,845,1.26E-05
PCI,855,1.27E-04
PCI,865,1.32E-03
PCI,875,4.29E-03
PCI,885,1.01E-02
PCI,895,1.87E-02
PCI,905,3.03E-02
PCI,915,5.75E-02
PCI,925,8.56E-02
PCI,935,9.73E-02
PCI,945,0.1041
PCI,955,0.1179
PCI,965,0.1263
PCI,975,0.1264
PCI,985,0.116
PCI,995,7.17E-02
PCI,1005,2.61E-02
PCI,1015,5.30E-03
PCI,1025,9.03E-04
PCI,1035,9.53E-05
PCI,1045,3.23E-06
PCI,1055,6.71E-08
PCI,1065,3.88E-10
PCI,1075,2.73E-13
PCI,1085,0
PCI,1095,0
PCI,1105,0
PCI,1115,0
PCI,1125,0
PCI,1135,0
PCI,1145,0
PCN,675,0
PCN,685,0
PCN,695,0
PCN,705,0
PCN,715,0
PCN,725,0
PCN,735,0
PCN,745,0
PCN,755,0
PCN,765,0
PCN,775,0
PCN,785,0
PCN,795,0
PCN,805,0
PCN,815,0
PCN,825,0
PCN,835,0
PCN,845,0
PCN,855,0
PCN,865,0
PCN,875,0
PCN,885,0
PCN,895,0
PCN,905,0
PCN,915,0
PCN,925,3.57E-09
PCN,935,3.62E-08
PCN,945,2.01E-07
PCN,955,7.30E-07
PCN,965,2.13E-06
PCN,975,5.25E-06
PCN,985,1.34E-05
PCN,995,3.38E-05
PCN,1005,1.18E-04
PCN,1015,4.36E-04
PCN,1025,1.51E-03
PCN,1035,3.15E-03
PCN,1045,5.43E-03
PCN,1055,1.49E-02
PCN,1065,3.57E-02
PCN,1075,8.19E-02
PCN,1085,0.1703
PCN,1095,0.288
PCN,1105,0.2616
PCN,1115,9.73E-02
PCN,1125,3.24E-02
PCN,1135,7.13E-03
PCN,1145,2.40E-04
PCN,1155,1.51E-06
PCN,1165,5.39E-09
PCN,1175,1.96E-12
PCN,1185,0
PCN,1195,0
PCN,1205,0
PCN,1215,0
PCR,985,0
PCR,995,0
PCR,1005,1.60E-20
PCR,1015,3.06E-17
PCR,1025,2.98E-15
PCR,1035,1.18E-11
PCR,1045,7.43E-09
PCR,1055,2.64E-07
PCR,1065,7.54E-06
PCR,1075,5.25E-05
PCR,1085,1.86E-04
PCR,1095,4.11E-04
PCR,1105,7.27E-04
PCR,1115,1.21E-03
PCR,1125,2.15E-03
PCR,1135,6.47E-03
PCR,1145,2.04E-02
PCR,1155,4.03E-02
PCR,1165,8.53E-02
PCR,1175,0.1274
PCR,1185,0.1483
PCR,1195,0.1504
PCR,1205,0.1401
PCR,1215,0.1238
PCR,1225,9.19E-02
PCR,1235,4.82E-02
PCR,1245,1.16E-02
PCR,1255,1.17E-03
PCR,1265,1.64E-05
PCR,1275,2.52E-08
PCR,1285,0
PCR,1295,0
PCR,1305,0
PCR,1315,0
PCR,1325,0
PCR,1335,0
PCR,1345,0
PCR,1355,0
PCR,1365,0
PCR,1375,0
PCT,1205,0
PCT,1215,0
PCT,1225,2.24E-10
PCT,1235,3.16E-08
PCT,1245,1.68E-07
PCT,1255,4.90E-07
PCT,1265,1.26E-06
PCT,1275,1.03E-05
PCT,1285,1.44E-04
PCT,1295,1.60E-03
PCT,1305,1.03E-02
PCT,1315,4.01E-02
PCT,1325,9.93E-02
PCT,1335,0.1681
PCT,1345,0.2231
PCT,1355,0.2311
PCT,1365,0.1672
PCT,1375,5.51E-02
PCT,1385,3.66E-03
PCT,1395,1.52E-04
PCT,1405,1.79E-06
PCT,1415,0
PCV,1295,0
PCV,1305,0
PCV,1315,0
PCV,1325,2.65E-21
PCV,1335,8.06E-16
PCV,1345,6.81E-13
PCV,1355,1.39E-11
PCV,1365,3.65E-11
PCV,1375,3.65E-11
PCV,1385,3.65E-11
PCV,1395,4.01E-10
PCV,1405,2.61E-08
PCV,1415,2.75E-07
PCV,1425,3.27E-06
PCV,1435,7.12E-05
PCV,1445,1.79E-03
PCV,1455,1.36E-02
PCV,1465,4.35E-02
PCV,1475,8.48E-02
PCV,1485,0.1232
PCV,1495,0.1449
PCV,1505,0.1456
PCV,1515,0.1323
PCV,1525,0.1103
PCV,1535,8.11E-02
PCV,1545,4.90E-02
PCV,1555,2.51E-02
PCV,1565,1.60E-02
PCV,1575,1.25E-02
PCV,1585,9.22E-03
PCV,1595,5.17E-03
PCV,1605,1.53E-03
PCV,1615,2.99E-04
PCV,1625,5.76E-06
PCV,1635,4.87E-07
PCV,1645,5.90E-08
PCV,1655,5.90E-08
PCV,1665,5.90E-08
PCV,1675,5.90E-08
PCV,1685,5.90E-08
PCV,1695,3.48E-09
PCV,1705,1.11E-11
PCV,1715,4.37E-13
PCV,1725,0
PCV,1735,0
PCV,1745,0
PCV,1755,0
PCV,1765,0
PCV,1775,0
PCV,1785,0
PCV,1795,0
PCV,1805,0
PCV,1815,0
PCV,1825,0
PCV,1835,0
PCV,1845,0
PCV,1855,0
PCV,1865,0
PCV,1875,0
PCV,1885,0
PCV,1895,0
PCV,1905,0
PCV,1915,0
PCV,1925,0
PCV,1935,0
PCV,1945,0
PC1812,1802,0.001
PC1812,1812,0.999
PC1812,1822,0
PC1857,1845,0.001
PC1857,1855,0.999
PC1857,1865,0
